title,author,url
Viva Mallorca! : One Mallorcan Autumn :,Peter Kerr,www.abebooks.com/servlet/BookDetailsPL?bi=30614863676&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_1-_-bdp
In Xanadu - A Quest :,William Dalrymple,www.abebooks.com/servlet/BookDetailsPL?bi=30715041999&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_2-_-bdp
New Europe :,Michael Palin ; ( Photographer ) Basil Pao,www.abebooks.com/servlet/BookDetailsPL?bi=17258447608&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_3-_-bdp
Travel Writing :,Geoff Barton ( Editor ),www.abebooks.com/servlet/BookDetailsPL?bi=30526894099&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_4-_-bdp
Bloom : Navigating Life And Style :,Estée Lalonde,www.abebooks.com/servlet/BookDetailsPL?bi=30711906048&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_5-_-bdp
Indulgence : One Man's Selfless Search For The Best Chocolate :,Paul Richardson,www.abebooks.com/servlet/BookDetailsPL?bi=30725905893&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_6-_-bdp
Barcelona :,Robert Hughes,www.abebooks.com/servlet/BookDetailsPL?bi=18881856464&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_7-_-bdp
"Four Seasons In Three Countries : A Year's Journey Through England, Scotland And Wales :",Edward Storey,www.abebooks.com/servlet/BookDetailsPL?bi=30829394186&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_8-_-bdp
The Solitary Landscape :,Edward Storey ; ( Illustrator ) John Hutton,www.abebooks.com/servlet/BookDetailsPL?bi=30829422928&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_9-_-bdp
Peterborough : A Miscellany : Part Of Did You Know Series :,Julia Skinner & Robert Cook ( Editors ),www.abebooks.com/servlet/BookDetailsPL?bi=30771167519&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_10-_-bdp
Rivers : A Voyage Into The Heart Of Britain :,Griff Rhys Jones,www.abebooks.com/servlet/BookDetailsPL?bi=30736920841&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_11-_-bdp
North Norfolk Images :,Trevor Heaton,www.abebooks.com/servlet/BookDetailsPL?bi=16378429767&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_12-_-bdp
Call It A Summer Country :,Edward Storey ; ( Photographer ) John Baguley,www.abebooks.com/servlet/BookDetailsPL?bi=30829361471&cm_sp=collections-_-ZA0kTcGf1mVpCnvJ53sTa_item_1_13-_-bdp
DD100 Work book 2,"Goldblatt, David",www.abebooks.com/servlet/BookDetailsPL?bi=5629016022&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_1-_-bdp
"Presence: Exploring Profound Change in People, Organizations and Society of Senge, Peter M., Jawo...",Various,www.abebooks.com/servlet/BookDetailsPL?bi=32279172543&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_2-_-bdp
Why We Lie: The Source of our Disasters,"Rowe, Dorothy",www.abebooks.com/servlet/BookDetailsPL?bi=30710735849&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_3-_-bdp
Feminism And Cultural Studies (Oxford Readings In Feminism),"Shiach, Morag",www.abebooks.com/servlet/BookDetailsPL?bi=31829978357&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_4-_-bdp
Evil and the Demonic: A New Theory of Monstrous Behavior,"Oppenheimer, Paul",www.abebooks.com/servlet/BookDetailsPL?bi=31535264173&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_5-_-bdp
In Search of the Woman Warrior: Role Models for Modern Women,"Lane, Wurts and Bradley, Richard J, Jay and Marion Zimmer",www.abebooks.com/servlet/BookDetailsPL?bi=22844387241&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_6-_-bdp
John Stuart Mill: A Logical Critique of Sociology (The making of sociology series),"Fletcher, Ronald",www.abebooks.com/servlet/BookDetailsPL?bi=22554574491&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_7-_-bdp
Down And out: Orwell's Paris And London Revisited,"Craig, Sandy",www.abebooks.com/servlet/BookDetailsPL?bi=32375389404&cm_sp=collections-_-19x3bKXV0jh6ISXEPDloW7_item_1_8-_-bdp
The Burn Journals,"Runyon, Brent",www.abebooks.com/servlet/BookDetailsPL?bi=32152381989&cm_sp=collections-_-37eTzGwcDIuSLq9Xx8NzhZ_item_1_1-_-bdp
Claiming Your Place at the Fire: Living the Second Half of Your Life on Purpose,Richard J. Leider; David A. Shapiro,www.abebooks.com/servlet/BookDetailsPL?bi=31766364618&cm_sp=collections-_-37eTzGwcDIuSLq9Xx8NzhZ_item_1_2-_-bdp
E-Squared: Nine Do-It-Yourself Energy Experiments That Prove Your Thoughts Create Your Reality,"Grout, Pam",www.abebooks.com/servlet/BookDetailsPL?bi=31861215889&cm_sp=collections-_-37eTzGwcDIuSLq9Xx8NzhZ_item_1_3-_-bdp
The Ways We Choose: Lessons for Life from a POW's Experience,Dave Carey,www.abebooks.com/servlet/BookDetailsPL?bi=31861223197&cm_sp=collections-_-37eTzGwcDIuSLq9Xx8NzhZ_item_1_4-_-bdp
A Season of Grief: A Comforting Companion for Difficult Days,"Dawson, Ann",www.abebooks.com/servlet/BookDetailsPL?bi=31884553943&cm_sp=collections-_-37eTzGwcDIuSLq9Xx8NzhZ_item_1_5-_-bdp
A Short History of Early American Microscopes - INSCRIBED,"Padgitt, Donald L.",www.abebooks.com/servlet/BookDetailsPL?bi=19969148719&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_1-_-bdp
Rittenhouse Vol. 7 No. 3 (Issue 27): Journal of the American Scientific Instrument Enterprise May...,"Warner, Deborah Jean; Marjorie Berry; Steven Turner; Thom...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281591&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_2-_-bdp
Rittenhouse : Journal of the American Scientific Instrument Enterprise [68 of 70 issues],"Warner, Deborah Jean; Randall C. Brooks; M. Eugene Rudd; ...",www.abebooks.com/servlet/BookDetailsPL?bi=31964770094&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_3-_-bdp
"Journal of the Zeiss Historica Society, Volume 31, Number 1, Spring 2010","Scott, John T. (editor)",www.abebooks.com/servlet/BookDetailsPL?bi=30046919800&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_4-_-bdp
Rittenhouse Vol. 5 No. 3 (Issue 19): Journal of the American Scientific Instrument Enterprise May...,"Baird, Davis; Deborah Jean Warner (contributors); Deborah...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281585&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_5-_-bdp
Rittenhouse Vol. 8 No. 2 (Issue 30): Journal of the American Scientific Instrument Enterprise Feb...,"Giordano, Raymond V.; Deborah Jean Warner; Steven Turner ...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281572&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_6-_-bdp
